symbol,companyName,industry,isin,sector,basic_industry
PTCIL,PTC Industries Limited,Other Industrial Products,INE596F01018,,
ALPEXSOLAR,Alpex Solar Limited,Other Electrical Equipment,INE0R4701017,,
BPL,BPL Limited,Consumer Electronics,INE110A01019,Consumer Durables,Cycles
SUNDARAM,Sundaram Multi Pap Limited,Stationary,INE108E01023,,
SADBHIN,Sadbhav Infrastructure Project Limited,Civil Construction,INE764L01010,,
KRITIKA,Kritika Wires Limited,Iron & Steel Products,INE00Z501029,,
AVL,Aditya Vision Limited,Speciality Retail,INE679V01027,,
DNAMEDIA,Diligent Media Corporation Limited,Electronic Media,INE016M01021,,
GRPLTD,GRP Limited,Rubber,INE137I01015,,
NIVABUPA,Niva Bupa Health Insurance Company Limited,General Insurance,INE995S01015,,
NOVAAGRI,Nova Agritech Limited,Fertilizers,INE02H701025,Chemicals,Fertilizers
EUREKAFORB,Eureka Forbes Limited,Household Appliances,INE0KCE01017,Fast Moving Consumer Goods,Household Products
OILCOUNTUB,Oil Country Tubular Limited,Oil Equipment & Services,INE591A01010,,
CENTEXT,Century Extrusions Limited,Aluminium Copper & Zinc Products,INE281A01026,,
NDL,Nandan Denim Limited,Other Textile Products,INE875G01048,,
CYBERMEDIA,Cyber Media (India) Limited,Electronic Media,INE278G01037,,
HEXATRADEX,Hexa Tradex Limited,Investment Company,INE750M01017,,
SURAKSHA,Suraksha Diagnostic Limited,Healthcare Service Provider,INE877V01027,Healthcare,Medical Equipment & Supplies
TVSHLTD,TVS Holdings Limited,Investment Company,INE105A01035,,
POWERMECH,Power Mech Projects Limited,Civil Construction,INE211R01019,,
DDEVPLSTIK,Ddev Plastiks Industries Limited,Specialty Chemicals,INE0HR601026,,
VMM,Vishal Mega Mart Limited,Diversified Retail,INE01EA01019,Metals & Mining,Diversified Metals
PDMJEPAPER,Pudumjee Paper Products Limited,Paper & Paper Products,INE865T01018,,
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Hospital,INE947I01017,,
NARMADA,Narmada Agrobase Limited,Animal Feed,INE117Z01011,,
MCLOUD,Magellanic Cloud Limited,Computers - Software & Consulting,INE613C01026,,
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Gems Jewellery And Watches,INE01IU01018,,
INDRAMEDCO,Indraprastha Medical Corporation Limited,Hospital,INE681B01017,,
SNOWMAN,Snowman Logistics Limited,Logistics Solution Provider,INE734N01019,,
TATVA,Tatva Chintan Pharma Chem Limited,Specialty Chemicals,INE0GK401011,,
BHARATRAS,Bharat Rasayan Limited,Pesticides & Agrochemicals,INE838B01021,,
PYRAMID,Pyramid Technoplast Limited,Packaging,INE0MIS01010,,
MITTAL,Mittal Life Style Limited,Garments & Apparels,INE997Y01027,,
NRBBEARING,NRB Bearing Limited,Auto Components & Equipments,INE349A01021,Automobile and Auto Components,Auto Components & Equipments
CONCOR,Container Corporation of India Limited,Logistics Solution Provider,INE111A01025,,
NAVKARCORP,Navkar Corporation Limited,Logistics Solution Provider,INE278M01019,,
SUVEN,Suven Life Sciences Limited,Healthcare Research Analytics & Technology,INE495B01038,Healthcare,Medical Equipment & Supplies
SANATHAN,Sanathan Textiles Limited,Other Textile Products,INE0JPD01013,,
AIMTRON,Aimtron Electronics Limited,Diversified,INE0RUV01018,Diversified,Diversified
HBSL,HB Stockholdings Limited,Non Banking Financial Company (NBFC),INE550B01022,,
GATECHDVR,GACM Technologies Limited,Other Financial Services,INE224E01036,,
THOMASCOTT,Thomas Scott (India) Limited,Garments & Apparels,INE480M01011,,
YESBANK,Yes Bank Limited,Private Sector Bank,INE528G01035,,
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Packaging,INE0S2G01011,,
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Road Transport,INE06HJ01020,,
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Cables - Electricals
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Castings & Forgings
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Packaging
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Plastic Products - Industrial
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Rubber
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Other Industrial Products
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Glass - Industrial
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,"Aluminium, Copper & Zinc Products"
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Iron & Steel Products
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Abrasives & Bearings
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,"Compressors, Pumps & Diesel Engines"
PENIND,Pennar Industries Limited,Industrial Products,INE932A01024,Capital Goods,Electrodes & Refractories
