Symbol,Company Name,Industry,market_cap
MPHASIS,MphasiS Ltd.,Information Technology,Midcap
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,Midcap
NHPC,NHPC Ltd.,Power,Midcap
NLCINDIA,NLC India Ltd.,Power,Midcap
NMDC,NMDC Ltd.,Metals & Mining,Midcap
NTPCGREEN,NTPC Green Energy Ltd.,Power,Midcap
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,Midcap
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,Midcap
OBEROIRLTY,Oberoi Realty Ltd.,Realty,Midcap
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,Midcap
PAYTM,One 97 Communications Ltd.,Financial Services,Midcap
OFSS,Oracle Financial Services Software Ltd.,Information Technology,Midcap
POLICYBZR,PB Fintech Ltd.,Financial Services,Midcap
PIIND,PI Industries Ltd.,Chemicals,Midcap
PAGEIND,Page Industries Ltd.,Textiles,Midcap
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Midcap
PERSISTENT,Persistent Systems Ltd.,Information Technology,Midcap
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Midcap
PHOENIXLTD,Phoenix Mills Ltd.,Realty,Midcap
POLYCAB,Polycab India Ltd.,Capital Goods,Midcap
PREMIERENE,Premier Energies Ltd.,Capital Goods,Midcap
PRESTIGE,Prestige Estates Projects Ltd.,Realty,Midcap
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,Midcap
RVNL,Rail Vikas Nigam Ltd.,Construction,Midcap
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,Midcap
SJVN,SJVN Ltd.,Power,Midcap
SRF,SRF Ltd.,Chemicals,Midcap
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,Midcap
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,Midcap
SAIL,Steel Authority of India Ltd.,Metals & Mining,Midcap
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,Midcap
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,Midcap
SUZLON,Suzlon Energy Ltd.,Capital Goods,Midcap
SWIGGY,Swiggy Ltd.,Consumer Services,Midcap
SYNGENE,Syngene International Ltd.,Healthcare,Midcap
TATACOMM,Tata Communications Ltd.,Telecommunication,Midcap
TATAELXSI,Tata Elxsi Ltd.,Information Technology,Midcap
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,Midcap
TATATECH,Tata Technologies Ltd.,Information Technology,Midcap
NIACL,The New India Assurance Company Ltd.,Financial Services,Midcap
THERMAX,Thermax Ltd.,Capital Goods,Midcap
TORNTPOWER,Torrent Power Ltd.,Power,Midcap
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,Midcap
UCOBANK,UCO Bank,Financial Services,Midcap
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,Midcap
UPL,UPL Ltd.,Chemicals,Midcap
UNIONBANK,Union Bank of India,Financial Services,Midcap
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,Midcap
VMM,Vishal Mega Mart Ltd.,Consumer Services,Midcap
IDEA,Vodafone Idea Ltd.,Telecommunication,Midcap
VOLTAS,Voltas Ltd.,Consumer Durables,Midcap
WAAREEENER,Waaree Energies Ltd.,Capital Goods,Midcap
YESBANK,Yes Bank Ltd.,Financial Services,Midcap
